# Rime user dictionary
#@/db_name	phrases_smp_all.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22014
#@/user_id	Rime
a 	啊	c=120 d=1.46935 t=22014
wei yi que ding 	唯一確定	c=1 d=8.87798e-42 t=22014
wei yu 	謂語	c=2 d=1.97531 t=20464
wei yuan 	委員	c=2 d=3.11645e-12 t=22014
wei zhi 	位置	c=15 d=0.0215096 t=22014
wei zhi 	未知	c=4 d=2.65611e-20 t=22014
wei zhi 	爲之	c=1 d=1 t=21126
wen 	問	c=7 d=0.000611491 t=22014
wen ding 	穩定	c=4 d=1.90763e-06 t=22014
wen ding ban 	稳定版	c=2 d=0.425283 t=22014
wen ge 	文革	c=3 d=2.37094e-07 t=22014
wen he 	吻合	c=1 d=1.04706e-41 t=22014
wen jian 	文件	c=45 d=0.272532 t=22014
wen jian an 	文件按	c=1 d=1.30184e-15 t=22014
wen jian jia 	文件夾	c=3 d=3.39071e-24 t=22014
wen ni 	問你	c=1 d=1.88536e-19 t=22014
wen qing 	溫情	c=1 d=4.87151e-40 t=22014
wen quan 	溫泉	c=1 d=0.00230352 t=22014
wen quan zhen 	溫泉鎮	c=1 d=0.00213348 t=22014
wen ren 	文人	c=11 d=0.000751211 t=22014
wen ti 	問題	c=52 d=0.48242 t=22014
wen ti le 	問題了	c=1 d=1.8912e-26 t=22014
wen ting yun 	溫庭筠	c=1 d=2.75458e-09 t=22014
wen wen 	問問	c=2 d=1.25946e-08 t=22014
wen xue 	文學	c=1 d=1 t=20710
wen ya 	文雅	c=1 d=1 t=20772
wen yi ge 	问一个	c=1 d=7.21767e-18 t=22014
wen yi xia 	問一下	c=6 d=0.00075307 t=22014
wen zhang 	文章	c=2 d=0.0620385 t=22014
wen zi 	文字	c=1 d=1 t=20141
wo 	我	c=578 d=4.96743 t=22014
wo 	握	c=1 d=1.0758e-36 t=22014
wo bi 	握筆	c=1 d=3.38823e-33 t=22014
wo bu shi 	我不是	c=1 d=1.18628e-39 t=22014
wo de 	我的	c=3 d=4.28667e-06 t=22014
wo fa xian 	我发现	c=2 d=0.0997588 t=22014
wo gei ni 	我給你	c=1 d=3.20582e-29 t=22014
wo kan dao 	我看到	c=1 d=1.93407e-25 t=22014
wo le 	我了	c=1 d=2.23739e-33 t=22014
wo men 	我們	c=6 d=0.00173355 t=22014
wo men na er 	我們那兒	c=1 d=0.0174224 t=22014
wo shou 	握手	c=1 d=7.28005e-31 t=22014
wo ye shi 	我也是	c=1 d=5.73663e-22 t=22014
wu 	五	c=1 d=2.8527e-09 t=22014
wu 	唔	c=1 d=2.83847e-09 t=22014
wu 	武	c=2 d=6.461e-13 t=22014
wu 	無	c=5 d=0.000251014 t=22014
wu 	物	c=1 d=1 t=20831
wu 	誤	c=1 d=2.45534e-09 t=22014
wu chu ke tao 	無處可逃	c=1 d=1.68719e-36 t=22014
wu fa 	無法	c=28 d=0.23111 t=22014
wu fan 	午飯	c=1 d=7.98219e-26 t=22014
wu guang gao 	无广告	c=2 d=8.0353e-14 t=22014
wu han 	武漢	c=6 d=2.61436e-12 t=22014
wu hui 	誤會	c=1 d=5.42023e-31 t=22014
wu li 	物理	c=2 d=3.7716e-42 t=22014
wu li ji 	物理级	c=1 d=5.60262e-38 t=22014
wu liang 	無量	c=1 d=1 t=21864
wu nai 	無奈	c=0 d=0.1 t=21001
wu sheng 	無聲	c=1 d=1 t=20416
wu shi 	無事	c=0 d=3.20418e-24 t=22014
wu shi xian yin qin 	無事獻殷勤	c=1 d=3.22024e-23 t=22014
wu suo 	無所	c=1 d=1.76671e-19 t=22014
wu suo bu wei 	無所不爲	c=1 d=4.25631e-40 t=22014
wu suo bu xiao 	無所不曉	c=1 d=3.08756e-28 t=22014
wu suo wei 	無所謂	c=3 d=0.0194482 t=22014
wu tai 	舞臺	c=1 d=3.50176e-09 t=22014
wu ti 	物體	c=1 d=5.79015e-43 t=22014
wu tu 	无图	c=2 d=1.73502e-12 t=22014
wu wei er zhi 	無爲而治	c=1 d=1 t=20883
wu xian 	無線	c=2 d=1.03363e-18 t=22014
wu xian zhi 	無限制	c=1 d=1.00707e-24 t=22014
wu yi 	五億	c=1 d=1.099 t=20027
wu yi tan zhang 	五億探長	c=1 d=1 t=20026
wu yu 	無語	c=1 d=2.97004e-42 t=22014
wu yun 	烏雲	c=1 d=1.11241e-18 t=22014
wu ze ren 	无责任	c=1 d=3.23914e-33 t=22014
wu zheng 	吳徵	c=1 d=5.02088e-13 t=22014
wu zhong 	五種	c=1 d=2.89581e-09 t=22014
wu zhuang 	武裝	c=1 d=1.26948e-13 t=22014
wu zhuo 	污濁	c=0 d=1.97039e-39 t=22014
xi 	西	c=1 d=3.08967e-36 t=22014
xi fang 	西方	c=3 d=0.157432 t=22014
xi fen 	戲份	c=1 d=1 t=21342
xi gan 	喜感	c=1 d=1 t=20012
xi gu 	戏骨	c=1 d=1 t=20113
xi guan 	習慣	c=4 d=0.00245409 t=22014
xi huan 	喜歡	c=1 d=1.78695e-06 t=22014
xi ji 	襲擊	c=0 d=0.00229371 t=22014
xi ji ren 	襲擊人	c=1 d=0.0230521 t=22014
xi ju 	喜劇	c=2 d=9.76422e-12 t=22014
xi ju zong dong yuan 	喜劇總動員	c=1 d=4.73992e-12 t=22014
xi lie 	系列	c=2 d=2.23548e-23 t=22014
xi nan 	西南	c=1 d=1 t=19859
xi nao le 	洗脑了	c=1 d=0.0461896 t=22014
xi shou 	犀首	c=1 d=1.21024e-39 t=22014
xi shuo 	細說	c=1 d=1.08702e-11 t=22014
xi ti ce 	习题册	c=1 d=3.50057e-05 t=22014
xi tong 	系統	c=136 d=2.64173 t=22014
xi wang 	希望	c=8 d=0.00342181 t=22014
xi wang zai 	希望在	c=1 d=0.0343896 t=22014
xi xun 	喜訊	c=1 d=3.69975e-09 t=22014
xi yin ren 	吸引人	c=1 d=1.00672e-20 t=22014
xi you ji 	西遊記	c=11 d=0.556978 t=22014
xia 	下	c=22 d=0.0022176 t=22014
xia 	嚇	c=1 d=1 t=19914
xia ban nian 	下半年	c=2 d=4.97159e-35 t=22014
xia cai 	瞎猜	c=2 d=1.91814e-08 t=22014
xia ci 	下次	c=2 d=1.38809e-05 t=22014
xia de 	嚇得	c=2 d=2.25449e-05 t=22014
xia feng 	狭缝	c=1 d=6.93089e-41 t=22014
xia gao 	瞎搞	c=0 d=1.27914e-15 t=22014
xia ge 	下個	c=1 d=2.93998e-40 t=22014
xia ke yi 	下可以	c=1 d=5.27741e-11 t=22014
xia lai 	下來	c=1 d=1.49e-15 t=22014
xia le 	下了	c=1 d=3.91706e-05 t=22014
xia le ge 	下了個	c=1 d=0.000393669 t=22014
xia lie 	下列	c=1 d=2.81358e-23 t=22014
xia mi 	蝦米	c=1 d=1 t=20676
xia mian 	下面	c=8 d=0.0480876 t=22014
xia yi bu 	下一步	c=1 d=5.47005e-21 t=22014
xia yi ge 	下一個	c=2 d=4.38757e-15 t=22014
xia zai 	下載	c=48 d=0.774916 t=22014
xian 	先	c=35 d=0.0132344 t=22014
xian 	線	c=4 d=3.13902e-32 t=22014
xian 	賢	c=1 d=1 t=20561
xian 	閒	c=1 d=4.72753e-40 t=22014
xian cun 	現存	c=1 d=8.92248e-42 t=22014
xian dai 	現代	c=2 d=0.00242967 t=22014
xian de 	顯得	c=2 d=0.028297 t=22014
xian fa 	憲法	c=1 d=1.27562e-11 t=22014
xian hou 	先後	c=1 d=1.28398e-29 t=22014
xian lai 	先來	c=0 d=2.37905e-21 t=22014
xian lai dian er 	先來點兒	c=1 d=2.39098e-20 t=22014
xian lu 	線路	c=2 d=0.000476044 t=22014
xian mian 	限免	c=1 d=1 t=20594
xian mu 	羨慕	c=2 d=0.000446264 t=22014
xian ran 	顯然	c=1 d=8.82018e-24 t=22014
xian shi 	現實	c=2 d=1.86936 t=20448
xian shi 	顯示	c=23 d=0.5523 t=22014
xian shi qi 	顯示器	c=2 d=2.48086e-13 t=22014
xian su 	限速	c=2 d=0.000188766 t=22014
xian xiang 	現象	c=3 d=4.79082e-20 t=22014
xian yin qin 	獻殷勤	c=0 d=3.20418e-24 t=22014
xian yu 	鹹魚	c=1 d=5.52126e-13 t=22014
xian yun ye he 	閒雲野鶴	c=1 d=7.19513e-40 t=22014
xian zai 	現在	c=38 d=1.74955 t=22014
xian zhi 	限制	c=6 d=0.0359725 t=22014
xiang 	像	c=3 d=0.00305798 t=22014
xiang 	向	c=1 d=5.39228e-29 t=22014
xiang 	巷	c=2 d=2.22357e-10 t=22014
xiang 	想	c=34 d=0.00859594 t=22014
xiang 	相	c=1 d=7.4707e-41 t=22014
xiang 	鄉	c=1 d=1.26577e-08 t=22014
xiang bu kai 	想不開	c=1 d=5.84636e-39 t=22014
xiang da yu 	想大於	c=1 d=2.33115e-16 t=22014
xiang dui 	相對	c=1 d=6.12294e-24 t=22014
xiang fa 	想法	c=1 d=3.38892e-06 t=22014
xiang fan 	相反	c=1 d=1.04599e-29 t=22014
xiang gang 	香港	c=29 d=3.56553 t=22014
xiang hu 	相互	c=2 d=1.60671e-41 t=22014
xiang ji 	相機	c=1 d=1.18486e-25 t=22014
xiang qi 	象棋	c=9 d=8.25095 t=20392
xiang sheng 	相聲	c=1 d=0.00292342 t=22014
xiang shou 	享受	c=1 d=1.864e-32 t=22014
xiang tong 	相同	c=1 d=1.27845e-37 t=22014
xiang xi 	詳細	c=4 d=1.11529e-19 t=22014
xiang xiang 	想想	c=1 d=6.28757e-42 t=22014
xiang xiang 	想象	c=5 d=2.46326e-40 t=22014
xiang yao 	想要	c=1 d=2.22509e-27 t=22014
xiang ying 	響應	c=1 d=1.6983e-25 t=22014
xiang yu 	相遇	c=1 d=2.38278e-09 t=22014
xiang zhe 	想着	c=2 d=0.0561348 t=22014
xiang zhi dao 	想知道	c=1 d=4.11145e-15 t=22014
xiao 	小	c=13 d=1.87432 t=22014
xiao 	曉	c=1 d=1 t=21317
xiao 	笑	c=3 d=2.97516 t=20575
xiao bai 	小白	c=1 d=1.06843e-14 t=22014
xiao da xiao nao 	小打小鬧	c=1 d=7.41299e-38 t=22014
xiao dao xiao xi 	小道消息	c=2 d=1.10651e-33 t=22014
xiao ge 	小哥	c=2 d=1.51595e-31 t=22014
xiao gong ju 	小工具	c=1 d=2.02413e-31 t=22014
xiao guo 	效果	c=4 d=8.03202e-11 t=22014
xiao hai 	小孩	c=1 d=0.0132336 t=22014
xiao hai zi 	小孩子	c=2 d=6.83038e-35 t=22014
xiao he zi 	小盒子	c=1 d=2.31755e-06 t=22014
xiao hu 	小胡	c=1 d=5.00792e-12 t=22014
xiao hua 	笑話	c=2 d=1.72285e-39 t=22014
xiao huo 	小夥	c=1 d=8.23395e-09 t=22014
xiao lian 	笑臉	c=2 d=6.07564e-21 t=22014
xiao liang 	銷量	c=1 d=3.74457e-33 t=22014
xiao long 	驍龍	c=4 d=4.97939e-33 t=22014
xiao lv 	效率	c=1 d=1.39168e-06 t=22014
xiao mi 	小米	c=57 d=1.48999e-31 t=22014
xiao mi 	消糜	c=1 d=1.51196e-40 t=22014
xiao mi zhi jia 	小米之家	c=1 d=1.1984e-41 t=22014
xiao ruan jian 	小软件	c=1 d=7.6468e-21 t=22014
xiao shi 	小時	c=16 d=0.474793 t=22014
xiao shi 	消失	c=1 d=1 t=21287
xiao shi pin 	小视频	c=1 d=0.000515692 t=22014
xiao shuo 	小說	c=2 d=1.12682 t=21128
xiao tuan ti 	小团体	c=1 d=3.94877e-40 t=22014
xiao wang 	消亡	c=2 d=9.64747e-12 t=22014
xiao wen ti 	小问题	c=1 d=1.45896e-32 t=22014
xiao xi 	消息	c=12 d=2.24327e-05 t=22014
xiao xiao 	小小	c=1 d=2.77981e-28 t=22014
xiao xin 	小心	c=2 d=7.52561e-21 t=22014
xiao xue 	小學	c=1 d=1.31287e-26 t=22014
xiao yao 	逍遙	c=0 d=3.96856e-41 t=22014
xiao yao kuai huo 	逍遙快活	c=1 d=3.98845e-40 t=22014
xiao yi zi 	小姨子	c=1 d=1 t=20910
xiao yuan 	校園	c=1 d=6.84072e-34 t=22014
xiao zhen 	小鎮	c=1 d=1.00933e-21 t=22014
xiao zi chan jie ji 	小資產階級	c=1 d=0.127454 t=22014
xie 	些	c=8 d=0.0824965 t=22014
xie 	寫	c=3 d=0.0298222 t=22014
xie 	謝	c=1 d=1.11681e-35 t=22014
xie cheng 	寫成	c=1 d=0.000816895 t=22014
xie cheng 	攜程	c=1 d=5.45871e-26 t=22014
xie chu 	寫出	c=1 d=4.79898e-40 t=22014
xie chu le 	写出了	c=1 d=4.15123e-40 t=22014
xie cuo 	寫錯	c=1 d=4.61018e-09 t=22014
xie le 	寫了	c=2 d=0.0608101 t=22014
xie le 	泄了	c=1 d=5.43056e-24 t=22014
xie lou 	泄漏	c=2 d=1.47825e-20 t=22014
xie shi 	寫詩	c=1 d=1 t=21214
xie xie 	謝謝	c=12 d=0.000596161 t=22014
xie yi 	協議	c=3 d=0.000318117 t=22014
xie zai 	卸載	c=9 d=1.08422e-10 t=22014
xie zhe 	寫着	c=2 d=0.0535981 t=22014
xie zi 	鞋子	c=2 d=0.0020981 t=22014
xin 	信	c=2 d=4.51889e-09 t=22014
xin 	心	c=2 d=0.173774 t=22014
xin 	新	c=9 d=1.17419 t=22014
xin ban 	新版	c=1 d=1.24799e-18 t=22014
xin bu fan 	心不烦	c=1 d=1.59445e-18 t=22014
xin dian er 	新點兒	c=1 d=0.941765 t=22014
xin hao 	信號	c=2 d=1.20757e-13 t=22014
xin ji 	新機	c=0 d=1.07858e-38 t=22014
xin ji qi 	新机器	c=1 d=3.474e-33 t=22014
xin ji zi 	新機子	c=1 d=1.08399e-37 t=22014
xin jia po 	新加坡	c=1 d=0.00204983 t=22014
xin jing 	心經	c=1 d=1.60577e-13 t=22014
xin ku 	辛苦	c=2 d=2.51624e-26 t=22014
xin ku zhe 	辛苦者	c=1 d=2.15933e-27 t=22014
xin kuan 	新款	c=2 d=1.0597e-26 t=22014
xin lang 	新浪	c=11 d=2.87763e-21 t=22014
xin li 	心裏	c=1 d=0.00364281 t=22014
xin mai 	新買	c=1 d=6.76459e-20 t=22014
xin te xing 	新特性	c=1 d=0.628135 t=22014
xin wen 	新聞	c=1 d=1.19926e-20 t=22014
xin xi 	信息	c=6 d=0.000509026 t=22014
xin xi tong 	新系统	c=1 d=1.54491e-29 t=22014
xin xian 	新鮮	c=1 d=2.05548e-06 t=22014
xin xing 	新興	c=1 d=4.32005e-09 t=22014
xin yang 	信仰	c=1 d=1 t=20495
xin yong ka 	信用卡	c=4 d=0.000229132 t=22014
xin zang bing 	心臟病	c=1 d=3.14501e-39 t=22014
xin zuo 	新作	c=1 d=0.226502 t=22014
xing 	姓	c=2 d=3.67612e-08 t=22014
xing 	性	c=3 d=5.2582e-40 t=22014
xing 	興	c=1 d=4.19737e-23 t=22014
xing 	行	c=2 d=3.09637e-09 t=22014
xing cheng 	形成	c=5 d=4.97763e-40 t=22014
xing hao 	型號	c=1 d=2.63374e-40 t=22014
xing jia bi 	性價比	c=1 d=2.00473e-06 t=22014
xing ming 	姓名	c=2 d=1.03432e-27 t=22014
xing neng 	性能	c=1 d=1.56501e-34 t=22014
xing shi 	形式	c=1 d=1 t=20412
xing wei 	行爲	c=3 d=2.70464e-29 t=22014
xing yun 	幸運	c=1 d=1.97516e-37 t=22014
xing zhen 	刑偵	c=1 d=5.33136e-13 t=22014
xiong 	胸	c=2 d=1.2732e-18 t=22014
xiong di 	兄弟	c=1 d=1 t=21367
xiong nu 	匈奴	c=1 d=1.90728e-08 t=22014
xiu 	修	c=2 d=0.00047367 t=22014
xiu gai 	修改	c=7 d=1.17208e-15 t=22014
xiu xi 	休息	c=5 d=4.25935e-19 t=22014
xiu xing 	修行	c=1 d=1 t=20543
xu 	旭	c=1 d=4.55407e-12 t=22014
xu fei 	續費	c=5 d=8.17202e-12 t=22014
xu jing 	虚静	c=1 d=1 t=20882
xu ni ji 	虛擬機	c=1 d=0.000396006 t=22014
xu shu 	敘述	c=1 d=1.09869e-19 t=22014
xu wei 	虛僞	c=1 d=1 t=20997
xu xian 	續絃	c=1 d=1 t=21224
xu yao 	需要	c=50 d=1.27942 t=22014
xu zhi 	須知	c=1 d=0.231078 t=22014
xu zhi mo 	徐志摩	c=2 d=0.125451 t=22014
xuan 	懸	c=1 d=0.125556 t=22014
xuan 	玄	c=1 d=1.58866e-34 t=22014
xuan 	選	c=5 d=1.14676e-05 t=22014
xuan hu 	玄乎	c=1 d=2.26726e-42 t=22014
xuan ji 	玄機	c=1 d=2.55555e-09 t=22014
xuan ku 	炫酷	c=1 d=2.11549e-21 t=22014
xuan na ge 	選哪個	c=1 d=1 t=19728
xuan xiang 	選項	c=26 d=0.830133 t=22014
xuan ze 	選擇	c=18 d=0.210289 t=22014
xue 	學	c=2 d=0.00159641 t=22014
xue 	薛	c=1 d=2.24937e-37 t=22014
xue 	雪	c=0 d=0.1 t=20757
xue cheng 	學成	c=0 d=1.08532e-23 t=22014
xue ding e 	薛定諤	c=1 d=1.70914e-41 t=22014
xue sheng 	學生	c=3 d=6.64768e-05 t=22014
xue shu 	學術	c=1 d=6.41131e-36 t=22014
xue wei 	學位	c=3 d=1.98412e-35 t=22014
xue xi 	學習	c=1 d=1.58079e-05 t=22014
xue xiao 	學校	c=3 d=3.16034e-08 t=22014
xue xue 	學學	c=1 d=4.43393e-21 t=22014
xue yuan 	學院	c=4 d=3.87079e-35 t=22014
xun 	尋	c=1 d=2.68749e-13 t=22014
xun fei 	讯飞	c=2 d=2.24298e-23 t=22014
xun lei 	迅雷	c=3 d=0.0013163 t=22014
xun qiu 	尋求	c=1 d=4.41032e-17 t=22014
xun su 	迅速	c=2 d=8.79441e-19 t=22014
xun wen 	詢問	c=1 d=1.10266e-32 t=22014
ya 	亞	c=1 d=4.10223e-18 t=22014
ya hei 	雅黑	c=1 d=4.69116e-08 t=22014
ya li 	壓力	c=0 d=3.46053e-17 t=22014
ya po 	壓迫	c=1 d=3.73745e-40 t=22014
ya suo 	壓縮	c=0 d=3.2419e-44 t=22014
yan 	演	c=3 d=1.01796 t=20987
yan 	眼	c=1 d=1 t=20023
yan an 	延安	c=1 d=7.16069e-13 t=22014
yan bu jian 	眼不见	c=1 d=1.5865e-18 t=22014
yan cheng 	嚴懲	c=1 d=0.0184074 t=22014
yan chi 	延遲	c=1 d=1.04906e-34 t=22014
yan ge 	嚴格	c=4 d=2.07614e-06 t=22014
yan ge 	閹割	c=5 d=1.95526e-13 t=22014
yan gua you 	言寡尤	c=1 d=1 t=20699
yan guang 	眼光	c=1 d=1.47543e-17 t=22014
yan ji 	演技	c=2 d=0.00527382 t=22014
yan jin 	嚴謹	c=1 d=1 t=19817
yan jin 	演進	c=1 d=3.22518e-41 t=22014
yan jiu 	研究	c=9 d=4.18426e-08 t=22014
yan jiu sheng 	研究生	c=4 d=4.23598e-35 t=22014
yan jiu yi xia 	研究一下	c=1 d=7.79066e-05 t=22014
yan lun 	言論	c=1 d=5.34425e-12 t=22014
yan shi 	延時	c=2 d=0.97531 t=22014
yan xi 	演習	c=1 d=9.59451e-14 t=22014
yan xi shan 	閻錫山	c=1 d=3.09819e-39 t=22014
yan yuan 	演員	c=6 d=0.0222101 t=22014
yan zhao 	豔照	c=1 d=4.49711e-11 t=22014
yan zheng 	驗證	c=2 d=1.08457e-06 t=22014
yan zheng ma 	驗證碼	c=2 d=9.25978e-08 t=22014
yan zhong 	嚴重	c=6 d=0.018972 t=22014
yang 	樣	c=4 d=0.0262523 t=22014
yang 	養	c=1 d=5.77324e-38 t=22014
yang guo 	楊過	c=2 d=4.84981e-09 t=22014
yang guo zhong 	楊國忠	c=1 d=1 t=19959
yang ji 	樣機	c=1 d=2.52136e-27 t=22014
yang jian 	陽間	c=1 d=1 t=20525
yang zi 	樣子	c=5 d=0.00404611 t=22014
yao 	咬	c=2 d=0.000928593 t=22014
yao 	搖	c=12 d=9.95173e-23 t=22014
yao 	瑤	c=1 d=1 t=20537
yao 	要	c=66 d=0.0784555 t=22014
yao ba 	要把	c=1 d=3.11478e-43 t=22014
yao bi 	要比	c=1 d=1.31081e-37 t=22014
yao bu 	要不	c=3 d=7.20682e-29 t=22014
yao cha xun 	要查詢	c=1 d=1.69565e-36 t=22014
yao dian 	藥店	c=3 d=1.03326e-32 t=22014
yao fang 	藥房	c=1 d=1.10875e-38 t=22014
yao gong 	瑤宮	c=1 d=1 t=20539
yao guo guan 	要過關	c=1 d=1.1345e-14 t=22014
yao he 	吆喝	c=1 d=0.181772 t=22014
yao ji ci 	要幾次	c=1 d=2.07643e-37 t=22014
yao ji lao sun 	腰肌勞損	c=1 d=1.04688e-39 t=22014
yao jie he 	要結合	c=1 d=0.0405589 t=22014
yao me 	要麼	c=13 d=8.79286e-09 t=22014
yao qi sheng 	姚啓聖	c=1 d=2.14557e-40 t=22014
yao qian 	要錢	c=2 d=6.32098e-05 t=22014
yao qiu 	要求	c=4 d=2.60624e-14 t=22014
yao qiu shi 	要求是	c=1 d=6.41588e-15 t=22014
yao shi 	要是	c=2 d=4.06708e-06 t=22014
yao shi wo 	要是我	c=1 d=1 t=19993
yao wu 	藥物	c=1 d=2.95431e-09 t=22014
yao yan ge 	要严格	c=1 d=0.0207543 t=22014
yao yi yao 	摇一摇	c=1 d=3.99402e-27 t=22014
yao zhi dao 	要知道	c=1 d=7.16046e-42 t=22014
ye 	也	c=65 d=0.627151 t=22014
ye 	夜	c=1 d=8.19401e-40 t=22014
ye 	耶	c=7 d=4.27685e-22 t=22014
ye 	野	c=1 d=1.6558e-21 t=22014
ye ba 	也罷	c=1 d=1.52114e-23 t=22014
ye bei 	也被	c=1 d=3.59408e-21 t=22014
ye bu xing 	也不行	c=1 d=1.59088e-21 t=22014
ye bu yi ding 	也不一定	c=1 d=0.0393602 t=22014
ye duo 	也多	c=1 d=3.58114e-08 t=22014
ye hui 	也會	c=1 d=5.02345e-19 t=22014
ye jiu 	也就	c=2 d=8.29382e-06 t=22014
ye jiu shi 	也就是	c=7 d=0.527292 t=22014
ye jiu shi shuo 	也就是說	c=1 d=1 t=21531
ye ke neng 	也可能	c=2 d=0.00869506 t=22014
ye ke yi 	也可以	c=8 d=0.305746 t=22014
ye lai 	也來	c=1 d=3.2984e-11 t=22014
ye mei 	也沒	c=0 d=0.1 t=20127
ye mei kan guo 	也沒看過	c=1 d=1 t=20128
ye mei you 	也沒有	c=2 d=7.91513e-15 t=22014
ye mian 	頁面	c=4 d=2.26264e-18 t=22014
ye ren 	野人	c=4 d=3.43498e-08 t=22014
ye ren shan 	野人山	c=1 d=8.44239e-09 t=22014
ye shi 	也是	c=7 d=0.0112236 t=22014
ye ti 	液體	c=1 d=8.19567e-13 t=22014
ye xu 	也許	c=5 d=0.000198845 t=22014
ye xu yao 	也需要	c=2 d=4.84572e-07 t=22014
ye yao 	也要	c=1 d=2.07968e-26 t=22014
ye you 	也有	c=8 d=7.92887e-06 t=22014
ye zi 	葉子	c=0 d=1.26053e-19 t=22014
ye zi mei 	葉子媚	c=1 d=1.26685e-18 t=22014
yi 	一	c=7 d=0.00367942 t=22014
yi 	乙	c=0 d=2.54358e-43 t=22014
yi 	以	c=5 d=0.00245529 t=22014
yi 	億	c=1 d=1 t=20795
yi 	夷	c=1 d=1.38875e-40 t=22014
yi 	易	c=1 d=1 t=20120
yi ban 	一半	c=7 d=1.53834e-22 t=22014
yi ban 	一般	c=45 d=0.784082 t=22014
yi ban ban 	一瓣瓣	c=1 d=1 t=20053
yi bang 	一幫	c=2 d=1.99501 t=20406
yi bian 	一遍	c=1 d=7.20516e-27 t=22014
yi bu 	一步	c=1 d=2.98238e-32 t=22014
yi bu xiao xin 	一不小心	c=2 d=0.00102814 t=22014
yi bu yi bu 	一步一步	c=1 d=1.1562e-31 t=22014
yi chong 	一充	c=1 d=4.7195e-20 t=22014
yi ci 	一次	c=4 d=0.370039 t=22014
yi da dui 	一大堆	c=4 d=4.66856e-10 t=22014
yi dai 	一代	c=2 d=3.43207e-36 t=22014
yi dian dian 	一點點	c=1 d=0.154124 t=22014
yi dian dian er 	一点点儿	c=1 d=1.85438e-30 t=22014
yi dian er 	一點兒	c=1 d=9.35254e-37 t=22014
yi dong 	移動	c=10 d=0.0725235 t=22014
yi duan shi jian 	一段時間	c=1 d=2.95582e-15 t=22014
yi dui 	一堆	c=3 d=8.49082e-17 t=22014
yi duo 	一朵	c=1 d=3.95091e-17 t=22014
yi er 	一二	c=1 d=4.98194e-39 t=22014
yi fen 	一份	c=1 d=6.91675e-17 t=22014
yi fen 	一分	c=1 d=2.96146e-08 t=22014
yi fen huo 	一分货	c=1 d=8.54786e-08 t=22014
yi fen qian 	一分錢	c=1 d=8.50523e-08 t=22014
yi feng 	一封	c=1 d=3.06006e-11 t=22014
yi ge 	一個	c=106 d=0.182325 t=22014
yi ge ge 	一個個	c=2 d=1.12378e-20 t=22014
yi ge ren 	一個人	c=5 d=0.0188056 t=22014
yi ge xing qi 	一个星期	c=1 d=1.13373e-06 t=22014
yi ge yue 	一個月	c=7 d=8.46137e-06 t=22014
yi gong 	一共	c=1 d=3.82295e-12 t=22014
yi guan 	一貫	c=1 d=1.75664e-40 t=22014
yi hang 	一行	c=1 d=3.78092e-29 t=22014
yi hou 	以後	c=5 d=0.667003 t=22014
yi hui er 	一會兒	c=1 d=1.62551e-39 t=22014
yi huo 	一夥	c=1 d=0.0141931 t=22014
yi huo 	抑或	c=1 d=1 t=20410
yi ji 	一級	c=1 d=1 t=21445
yi ji 	以及	c=1 d=8.91489e-32 t=22014
yi jia 	一家	c=2 d=0.0140519 t=22014
yi jia zi 	一家子	c=1 d=1 t=20913
yi jian 	一見	c=1 d=2.39472e-09 t=22014
yi jian 	一鍵	c=3 d=1.01809e-05 t=22014
yi jian 	意見	c=9 d=1.80958e-07 t=22014
yi jin huan xiang 	衣錦還鄉	c=1 d=1 t=20517
yi jing 	已經	c=28 d=0.119483 t=22014
yi jing xiao you 	以儆效尤	c=1 d=1 t=20698
yi ju 	一句	c=1 d=1 t=19967
yi kai shi 	一開始	c=2 d=0.0614212 t=22014
yi kan 	一看	c=2 d=4.43936e-06 t=22014
yi kao 	依靠	c=1 d=1 t=21912
yi lai 	依賴	c=1 d=2.60036e-37 t=22014
yi lu 	一路	c=3 d=8.8323e-26 t=22014
yi mian 	一面	c=1 d=0.00358858 t=22014
yi miao 	一秒	c=1 d=6.36611e-41 t=22014
yi min 	移民	c=1 d=8.07065e-38 t=22014
yi mo yi yang 	一模一樣	c=1 d=3.65286e-06 t=22014
yi nian 	一年	c=2 d=8.33681e-08 t=22014
yi pian 	一篇	c=1 d=6.60881e-40 t=22014
yi qi 	一起	c=2 d=5.3129e-31 t=22014
yi qi 	儀器	c=5 d=3.17683e-41 t=22014
yi qi lai 	一起來	c=1 d=1.36835e-13 t=22014
yi qian 	以前	c=16 d=0.00670434 t=22014
yi qie 	一切	c=3 d=1.44784e-15 t=22014
yi qing er chu 	一清二楚	c=1 d=4.49238e-28 t=22014
yi qu tong gong 	異曲同工	c=1 d=2.32229e-30 t=22014
yi quan 	一圈	c=1 d=9.42887e-15 t=22014
yi qun 	一羣	c=1 d=4.51951e-40 t=22014
yi ran 	依然	c=3 d=8.61001e-05 t=22014
yi shang 	以上	c=2 d=3.44131e-10 t=22014
yi shen han 	一身汗	c=1 d=6.43249e-16 t=22014
yi sheng 	醫生	c=1 d=3.43231e-38 t=22014
yi shi 	意識	c=1 d=4.86059e-43 t=22014
yi shi 	義士	c=3 d=1.9434e-39 t=22014
yi shu 	藝術	c=1 d=1.14508e-35 t=22014
yi shu lei 	藝術類	c=1 d=2.36429e-35 t=22014
yi si 	意思	c=22 d=0.628935 t=22014
